"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_Biomass1Heat";"Heat";"to_node";"vom_cost";1.143971014
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass2";"Elec";"to_node";"vom_cost";2.619000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass2";"Elec";"to_node";"vom_cost";2.619000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Biomass2CHP";"Elec";"to_node";"vom_cost";1.808743604
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Biomass2CHP";"Elec";"to_node";"vom_cost";1.808743604
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_Biomass2Heat";"Heat";"to_node";"vom_cost";1.210489024
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_Biomass2Heat";"Heat";"to_node";"vom_cost";1.210489024
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Nuclear";"Elec";"to_node";"vom_cost";9.000000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_OCGT";"Elec";"to_node";"vom_cost";1.600000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Gas";"Elec";"to_node";"vom_cost";1.600000000
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Gas";"Elec";"to_node";"vom_cost";1.600000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_GasCHP";"Elec";"to_node";"vom_cost";1.756337500
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_GasCHP";"Elec";"to_node";"vom_cost";1.756337500
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Heat_GasHeat";"Heat";"to_node";"vom_cost";2.286995515
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Heat_GasHeat";"Heat";"to_node";"vom_cost";2.286995515
"unit__commodity__direction";"unit";"commodity";"direction";"74FI_Coal";"Elec";"to_node";"vom_cost";3.300000000
"unit__commodity__direction";"unit";"commodity";"direction";"75FI_Coal";"Elec";"to_node";"vom_cost";3.300000000
